Star,,Gas1,,Gas2,,Gas3,,2Halo,,Total,,r200,,DMO,,DMB1,,DMB2,,DMB3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.051842897413266587,3381430994329.728,0.2375232979456533,36824559981353.445,0.11169213661890579,13894954943731.36,0.5532709313056271,481437242078.43384,1.5461995292935553,746476040841.7129,0.4795025934529723,49331201494197.84,,,0.03843667067526161,11936759644392.04,0.07084064159304515,14036444003457.121,0.12075938815897977,12448891771353.223,0.1487018543028378,12008610796750.39
0.054612006795364064,2180842683648.6323,0.2534864809225471,27488651740618.9,0.12075938815897952,12005080577484.066,0.6301370685517202,415956216307.1843,1.928904536389008,614270682870.516,0.5252172519661917,28861404414300.777,,,0.042101133179314784,12448891771353.223,0.08389359662651004,14638660529265.996,0.14116190614769636,12448891771353.223,0.16936105849167396,11865338399221.387
0.05605154276326312,1476767647143.116,0.2705224984927532,23749877595782.125,0.1357589159962826,10890229622637.283,0.7365998709266222,415956216307.1843,2.3752329794565306,505479682119.1225,0.5981858810578722,23749877595782.125,,,0.04551893479198785,12905315107456.328,0.09806757216915785,15358609630414.785,0.16287874214985515,12300366467231.99,0.18550754666524352,11514591288657.238
0.05752902393633727,952436386879.2955,0.3081062903038097,18614066873551.176,0.1467799267622069,9878909222500.3,0.9070414181116799,415956216307.1843,2.9248371810351514,415956216307.1843,0.6724865703177161,16082338776670.389,,,0.04921419610660856,13218856692380.686,0.11613730701315687,15358609630414.785,0.1807432748436949,12153613189598.744,0.19797491696796413,11377212941701.537
0.0598185881057873,644946677103.7633,0.32881313098424275,15317404637020.734,0.16717211683959035,9878909222500.3,1.0197050644580952,377328471834.2101,3.6016140772527607,342287890107.1535,0.7659153808431715,11434075569413.732,,,0.05184289741326664,13540015939071.348,0.13575891599628273,15266714421281.58,0.20056718863390685,11794344488973.584,0.22256538834596878,11107353795727.2
0.06139536607422716,436728606799.7502,0.3744952621508095,12604600940141.79,0.18793657133363906,7742636826811.277,1.1919860873910895,326007441326.19464,4.671878346444263,268269579527.97162,0.8723242909296902,8535263461740.915,,,0.05605154276326321,13868977922726.023,0.1607735825216265,14904599153098.482,0.2254796461664285,11723775356774.473,0.2469763495563983,10974834120016.93
0.06301370685517209,268269579527.97162,0.4048970688068438,8535263461740.915,0.20585400556229297,7023617408016.857,1.3933743020968492,295732783450.8175,5.981858810578721,220757437337.46585,1.0065256777188318,6068324314121.098,,,0.06383880454607363,14464009520407.586,0.1807432748436949,14726775282293.121,0.2502102430360284,11377212941701.537,0.2635748419697034,10650410894399.584
0.06383880454607353,164790137810.03336,0.4377669169613003,7023617408016.857,0.22843206310366357,6068324314121.098,1.6077358252162597,231781818060.0885,6.812920690579602,190731875997.2516,1.1613730701315663,4314402261443.777,,,0.07176822469706313,14904599153098.482,0.20056718863390685,14205932215043.924,0.2849720456057021,11040895136738.072,0.2849720456057021,10335577830070.232
0.06552155273066414,129154966501.48827,0.4795025934529723,5242962115123.356,0.2469763495563978,5779692884153.301,1.9039740150507622,200256813604.31128,7.861043979437919,173019573884.58908,1.2394252485211938,3381430994329.728,,,0.07963976016913793,15175369048993.3,0.22256538834596878,13952459711374.469,0.3081062903038103,10523342915485.438,0.31622776601683855,9970038602668.621
,,0.511728432784894,4314402261443.777,0.26702607511154525,5242962115123.356,2.085494455408146,164790137810.03336,9.189181639339163,149486913370.92313,1.3753653508422583,2524157221026.7114,,,0.08723242909296919,15358609630414.785,0.24063341373555142,13459001926323.484,0.3555064279213953,10090425504921.178,0.35091161235640644,9559883452374.926
,,0.5532709313056271,3913745601980.376,0.3001933932636416,4756074810823.77,2.196887964469719,123011889642.19394,10.465838078530513,135604821782.0303,1.5664453730149073,1884222888814.0398,,,0.09431402320497337,15451057986035.805,0.2601682149967316,13139764272592.725,0.38939958131322355,9733556599876.383,0.4048970688068446,9057236642639.035
,,0.5904545052481249,3067414645297.6997,0.33311859036210034,4109193701433.389,2.437842531947064,96411088049.07501,,,1.7610136077199334,1339627724518.0142,,,0.10741710569440936,15637627475041.152,0.29248371810351603,12675049153669.3,0.43210890887505715,9445826344063.092,0.42652402887196383,8684633044553.349
,,0.6467470601655732,2404099183509.9644,0.3744952621508095,3727593720314.923,2.77653290594304,71968567300.11528,,,2.0585400556229296,822894037131.9562,,,0.11765800193218953,15637627475041.152,0.3203684333821008,11936759644392.04,0.4493061600600467,9003044454968.834,0.4921419610660858,8081195792296.657
,,0.7176822469706291,1794602440297.3127,0.4048970688068438,3067414645297.6997,3.081062903038094,56405668581.46338,,,2.314231388108563,644946677103.7633,,,0.1288752413238369,15637627475041.152,0.36487733955498103,11445696004512.566,0.5051144939547164,8736908612684.882,0.5320944151017453,7610486605804.784
,,0.7759442308140532,1476767647143.116,0.4377669169613003,2782559402207.1143,3.288131309842424,36378648521.43095,,,2.705224984927532,530722774856.756,,,0.14116190614769636,15451057986035.805,0.39449835603088884,10909168366349.75,0.5461200679536415,8277532798848.073,0.5828230551868869,7297400528407.201
,,0.8280929667211461,1102371666482.5247,0.48578117159706735,2524157221026.7114,3.555064279213946,27155789519.450005,,,3.418993735733626,377328471834.2101,,,0.15869563145973267,15175369048993.3,0.43210890887505715,10212266063153.613,0.5981858810578733,7937005259840.976,0.6637948800475627,7039312766401.934
,,0.9189181639339172,907135071051.6908,0.5461200679536404,2077113925966.45,3.6965502151266953,18388667690.5362,,,4.210113317931463,295732783450.8175,,,0.1715786620142103,14994314675274.707,0.46718783464442776,9733556599876.383,0.6383880454607359,7656296544927.702,0.7176822469706305,6550197851385.771
,,0.9806757216915766,783754223510.4772,0.5828230551868857,1884222888814.0398,3.8939958131322276,17514036214.69841,,,5.252172519661912,220757437337.46585,,,0.18310991642315735,14638660529265.996,0.49858603833017395,9333130028905.445,0.6992504722664039,7210336663391.503,0.7759442308140547,6280730751883.322
,,1.0465838078530523,505479682119.1225,0.655215527306641,1794602440297.3127,4.101987666944652,15131924993.343424,,,6.383880454607346,190731875997.2516,,,0.20585400556229339,14291442238734.012,0.5532709313056282,8895630884327.322,0.7365998709266237,7039312766401.934,0.8280929667211478,5986315660401.229
,,1.1315462674391794,436728606799.7502,0.6902128664695654,1406527242105.2393,4.210113317931463,13073808412.70645,,,8.068255840302886,156952123449.13,,,0.22256538834596878,13952459711374.469,0.5904545052481261,8377482916561.813,0.765915380843173,6831226108432.295,0.918918163933919,5774597144275.423
,,1.1613730701315663,396171835759.59894,0.8068255840302887,1102371666482.5247,4.377669169612998,10246652560.82553,,,9.189181639339163,135604821782.0303,,,0.2437842531947069,13540015939071.348,0.6301370685517216,7984780618580.096,0.8280929667211478,6550197851385.771,0.9935166306600131,5603896301629.461
,,1.2556542082449926,310501349512.48474,0.8837464527748513,1000000000000,4.7330516407670915,7285072236.132952,,,10.882361882139383,123011889642.19394,,,0.2601682149967316,13139764272592.725,0.6902128664695668,7610486605804.784,0.8953181757208278,6243151239164.234,1.0465838078530545,5341208454071.986
,,1.3575891599628245,243356744086.11478,0.9806757216915766,783754223510.4772,4.921419610660848,5438131880.0744095,,,,,,,0.2849720456057021,12751344305370.521,0.7365998709266237,7167195037193.059,0.9554896535724046,6022349198094.412,1.1463626662674256,5152305497334.33
,,1.487018543028375,181659978837.53287,1.0602877133410942,710970943231.2424,5.461200679536404,3682455998.1353445,,,,,,,0.3081062903038103,12448891771353.223,0.7759442308140547,6749724079664.514,1.03305702129534,5705701549970.036,1.2234060433078278,4999999999999.979
